name,version,type,purl,license
@jridgewell/sourcemap-codec,1.5.5,library,pkg:npm/%40jridgewell/sourcemap-codec@1.5.5,MIT
acorn-walk,8.3.4,library,pkg:npm/acorn-walk@8.3.4,MIT
execa,8.0.1,library,pkg:npm/execa@8.0.1,MIT
get-stream,8.0.1,library,pkg:npm/get-stream@8.0.1,MIT
human-signals,5.0.0,library,pkg:npm/human-signals@5.0.0,Apache-2.0
is-stream,3.0.0,library,pkg:npm/is-stream@3.0.0,MIT
merge-stream,2.0.0,library,pkg:npm/merge-stream@2.0.0,MIT
npm-run-path,5.3.0,library,pkg:npm/npm-run-path@5.3.0,MIT
path-key,4.0.0,library,pkg:npm/path-key@4.0.0,MIT
onetime,6.0.0,library,pkg:npm/onetime@6.0.0,MIT
mimic-fn,4.0.0,library,pkg:npm/mimic-fn@4.0.0,MIT
signal-exit,4.1.0,library,pkg:npm/signal-exit@4.1.0,ISC
strip-final-newline,3.0.0,library,pkg:npm/strip-final-newline@3.0.0,MIT
local-pkg,0.5.1,library,pkg:npm/local-pkg@0.5.1,MIT
mlly,1.8.0,library,pkg:npm/mlly@1.8.0,MIT
pathe,2.0.3,library,pkg:npm/pathe@2.0.3,MIT
pkg-types,1.3.1,library,pkg:npm/pkg-types@1.3.1,MIT
confbox,0.1.8,library,pkg:npm/confbox@0.1.8,MIT
ufo,1.6.1,library,pkg:npm/ufo@1.6.1,MIT
picocolors,1.1.1,library,pkg:npm/picocolors@1.1.1,ISC
std-env,3.10.0,library,pkg:npm/std-env@3.10.0,MIT
strip-literal,2.1.1,library,pkg:npm/strip-literal@2.1.1,MIT
js-tokens,9.0.1,library,pkg:npm/js-tokens@9.0.1,MIT
tinybench,2.9.0,library,pkg:npm/tinybench@2.9.0,MIT
tinypool,0.8.4,library,pkg:npm/tinypool@0.8.4,MIT
vite,5.4.21,library,pkg:npm/vite@5.4.21,MIT
esbuild,0.21.5,library,pkg:npm/esbuild@0.21.5,MIT
@esbuild/aix-ppc64,0.21.5,library,pkg:npm/%40esbuild/aix-ppc64@0.21.5,MIT
@esbuild/android-arm,0.21.5,library,pkg:npm/%40esbuild/android-arm@0.21.5,MIT
@esbuild/android-arm64,0.21.5,library,pkg:npm/%40esbuild/android-arm64@0.21.5,MIT
@esbuild/android-x64,0.21.5,library,pkg:npm/%40esbuild/android-x64@0.21.5,MIT
